FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2018,67.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2019,67.8,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2020,69.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2021,70.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2022,70.7,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2023,69.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2024,69,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2015,4244,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2016,4329,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2017,4414,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2018,4582,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2019,4675,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2020,4778,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2021,4948,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2022,4780,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2023,4883,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,THV,Valori in migliaia,2024,5327,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2015,54,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2016,54,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2017,54.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2018,54,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2019,54.6,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2020,56.8,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2021,58.3,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2022,57.1,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2023,55.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_T,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - totale,HSC_S,Per 100 persone sole con le stesse caratteristiche,2024,55.7,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2015,1375,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2016,1364,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2017,1344,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2018,1357,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2019,1360,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2020,1329,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2021,1307,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2022,1259,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2023,1146,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,THV,Valori in migliaia,2024,1054,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2015,5.4,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2016,5.4,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2017,5.3,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2018,5.3,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2019,5.3,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2020,5.2,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2021,5.1,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2022,5,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2023,4.5,,
A,Annuale,IT,Italia,AVTYPE_H5MORE,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con più di 5 componenti,HSC_F,Per 100 famiglie con le stesse caratteristiche,2024,4,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2015,1177,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2016,1188,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2017,1200,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2018,1240,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2019,1258,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2020,1249,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2021,1186,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2022,1120,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2023,1033,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,THV,Valori in migliaia,2024,967,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2015,4.7,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2016,4.7,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2017,4.7,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2018,4.8,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2019,4.9,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2020,4.9,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2021,4.6,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2022,4.4,,
